Lines	Bf	Sd	KMP	RK	FSM	Z
5	3750	9270	2720	21727	20111	21727	
8	3886	9560	2912	27096	27345	27096	
11	5353	11744	3638	37358	37361	37358	
14	11037	24316	6200	70128	70645	70128	
17	6037	18226	3400	45769	44840	45769	
20	5069	13428	3396	40618	41155	40618	
23	4907	14601	3244	39421	39572	39421	
26	4476	12075	2814	36830	36773	36830	
29	5468	14332	3481	44257	44985	44257	
32	5926	15113	3392	46966	48102	46966	
35	6566	18014	4119	55226	54925	55226	
38	7577	20621	4603	66342	64203	66342	
41	7516	22064	4683	64108	64069	64108	
44	8338	21517	5090	67163	67575	67163	
47	8381	22070	4959	68699	69278	68699	
50	8531	22813	6035	70738	73325	70738	
53	9900	29675	5693	79946	81643	79946	
56	9392	24433	5862	76484	79571	76484	
59	10458	27280	6552	86839	84952	86839	
62	12939	36764	7486	102228	102870	102228	
65	13101	38170	8006	106487	108849	106487	
68	13480	33832	7782	105792	107216	105792	
71	13715	38421	8130	111462	112065	111462	
74	13602	36460	8093	112420	112818	112420	
77	13893	38436	8157	115495	115027	115495	
80	14978	44546	8945	121942	123323	121942	
83	14649	40788	8569	119546	122479	119546	
86	15431	45867	9441	129509	125594	129509	
89	16101	43190	9762	135802	129718	135802	
92	15266	44228	9085	138105	137197	138105	
95	16807	47553	10270	142181	144695	142181	
98	17470	50692	9926	146227	143396	146227	
101	17692	53674	10330	157126	158287	157126	
104	20554	56445	11746	173162	171331	173162	
107	20685	64552	12211	175875	175923	175875	
110	19838	60584	11869	177023	177519	177023	
113	21921	58306	12276	179393	182843	179393	
116	20686	58622	12050	175331	176261	175331	
119	22534	61454	12387	182263	183093	182263	
122	21288	61321	12885	190309	184919	190309	
125	22641	65599	13448	193023	189514	193023	
128	21829	64482	13222	190286	199755	190286	
131	22782	62227	12808	191599	191668	191599	
134	31053	85666	15939	246253	245402	246253	
137	24834	71917	14212	209150	218900	209150	
140	23970	72451	14295	210688	213937	210688	
143	25090	73575	14374	210821	212586	210821	
146	25454	78111	15315	225205	220507	225205	
149	26056	81051	15584	232722	232575	232722	
152	27233	74700	16682	231606	234372	231606	
155	31812	80592	16300	243132	246020	243132	
158	27658	86169	17427	244962	240222	244962	
161	30513	88419	17663	254306	258169	254306	
164	29688	87186	18093	260377	258785	260377	
167	29704	94980	18219	264221	269428	264221	
170	30228	91431	17622	270137	265176	270137	
173	31142	98665	18311	272300	279256	272300	
176	32766	100781	18362	277381	282333	277381	
179	32518	97656	18566	280708	286083	280708	
182	33801	101985	20005	282496	286751	282496	
185	32963	104080	20037	294230	297426	294230	
188	36266	116727	20705	300606	306434	300606	
191	34710	118818	21012	298817	300949	298817	
194	34388	105960	21606	304360	299649	304360	
197	35664	105297	22169	315309	311598	315309	
200	40432	117837	22370	335222	330398	335222	
203	36669	104921	20811	314925	314428	314925	
206	36209	109231	21666	321504	321202	321504	
209	38937	117936	21950	331998	329335	331998	
212	39983	111613	22965	345204	341565	345204	
215	38662	117966	22553	337547	337049	337547	
218	39763	117992	23183	345611	346734	345611	
221	39833	110490	22663	343345	344292	343345	
224	39610	117406	23126	346238	352698	346238	
227	42291	133890	24111	372759	370952	372759	
230	41246	116054	24342	348199	366568	348199	
233	43234	124861	24391	358806	373777	358806	
